Condition,emmean_log,lower_log,upper_log,emmean_geom,lower_geom,upper_geom
Observable,2.1054287795775797,2.063115827664202,2.1477417314909575,8.210622802311105,7.870454625529233,8.565493355766337
Hidden,2.187237356191318,2.14492440427794,2.2295503081046957,8.910562369800342,8.541395519925937,9.295684945261772
