PID,experiment,calc,return
762,1,1,50.0
766,1,0,50.0
767,1,1,10.0
775,1,1,30.0
779,1,1,50.0
791,1,1,50.0
795,1,1,10.0
798,1,1,52.0
799,1,1,100.0
802,1,1,50.0
803,1,1,50.0
805,1,1,100.0
806,1,1,50.0
811,1,1,80.0
813,1,1,50.0
814,1,1,0.0
818,1,1,33.0
820,1,1,60.0
825,1,1,35.0
826,1,0,0.0
830,1,1,100.0
831,1,0,50.0
832,1,0,100.0
833,1,1,25.0
837,1,1,0.0
838,1,1,50.0
840,1,1,50.0
843,1,1,50.0
845,1,1,30.0
848,1,1,0.0
850,1,1,50.0
853,1,1,49.0
854,1,1,50.0
855,1,1,30.0
858,1,0,100.0
860,1,1,50.0
861,1,1,50.0
862,1,1,0.0
863,1,1,50.0
869,1,0,50.0
871,1,0,50.0
872,1,0,50.0
873,1,1,50.0
874,1,1,40.0
875,1,1,41.0
877,1,1,50.0
880,1,1,50.0
882,1,1,40.0
883,1,1,51.0
884,1,1,50.0
886,1,1,100.0
895,1,1,50.0
899,1,1,50.0
900,1,0,50.0
901,1,0,10.0
903,1,1,50.0
908,1,1,50.0
909,1,1,50.0
910,1,0,30.0
911,1,0,100.0
912,1,1,50.0
913,1,0,50.0
916,1,0,5.0
918,1,1,50.0
919,1,1,20.0
921,1,1,30.0
924,1,1,40.0
927,1,0,10.0
931,1,0,50.0
933,1,1,50.0
934,1,0,50.0
935,1,1,50.0
936,1,1,50.0
939,1,0,34.0
940,1,0,95.0
941,1,1,57.0
945,1,1,10.0
950,1,0,50.0
952,1,1,50.0
953,1,1,38.0
954,1,1,25.0
955,1,1,20.0
956,1,0,40.0
957,1,1,49.0
959,1,1,0.0
962,1,1,80.0
965,1,0,50.0
966,1,1,40.0
968,1,1,0.0
971,1,1,40.0
973,1,1,50.0
978,1,1,50.0
979,1,1,50.0
981,1,0,50.0
983,1,1,50.0
985,1,1,50.0
986,1,1,0.0
987,1,0,90.0
988,1,1,50.0
989,1,1,50.0
992,1,0,50.0
994,1,1,0.0
999,1,1,90.0
1009,1,1,100.0
1010,1,0,50.0
1012,1,1,50.0
1013,1,1,50.0
1016,1,0,50.0
1017,1,0,50.0
1019,1,1,40.0
1024,1,1,50.0
1025,1,1,50.0
1026,1,0,30.0
1027,1,1,10.0
1028,1,1,50.0
1030,1,0,50.0
1036,1,1,25.0
1041,1,1,50.0
1044,1,1,50.0
1045,1,0,50.0
1046,1,1,30.0
1051,1,1,50.0
1053,1,1,24.0
1056,1,1,50.0
1061,1,0,50.0
1064,1,1,50.0
1072,1,1,75.0
1073,1,1,50.0
1074,1,1,50.0
1076,1,0,50.0
1077,1,1,50.0
1080,1,0,100.0
1083,1,1,50.0
1089,1,1,50.0
1090,1,1,40.0
1091,1,1,50.0
1094,1,1,55.0
1095,1,1,42.0
1096,1,1,50.0
1100,1,1,50.0
1102,1,1,40.0
1103,1,1,34.0
1111,1,1,50.0
1115,1,0,50.0
1117,1,1,23.0
1125,1,1,66.0
1134,1,1,19.0
1135,1,1,50.0
1137,1,1,13.0
1141,1,1,20.0
1142,1,0,50.0
1145,1,1,40.0
1147,1,1,49.0
1148,1,1,0.0
1150,1,1,49.0
1152,1,0,50.0
1154,1,1,50.0
1156,1,1,33.0
1157,1,1,50.0
1158,1,1,40.0
1160,1,1,50.0
1162,1,1,65.0
1164,1,1,50.0
1165,1,1,50.0
1166,1,1,50.0
1167,1,0,50.0
1168,1,1,50.0
1169,1,1,50.0
1171,1,1,0.0
1173,1,1,25.0
1176,1,0,0.0
1177,1,0,50.0
1179,1,1,70.0
1181,1,1,50.0
1183,1,1,50.0
1187,1,1,50.0
1189,1,1,50.0
1190,1,0,50.0
1192,1,0,60.0
1196,1,0,50.0
1198,1,1,50.0
1199,1,1,5.0
1201,1,1,40.0
1202,1,0,100.0
1204,1,0,50.0
1207,1,0,0.0
1209,1,1,20.0
1210,1,0,50.0
1212,1,1,0.0
1213,1,1,50.0
1214,1,1,49.0
1221,1,1,20.0
1222,1,1,50.0
1223,1,1,50.0
1224,1,0,50.0
1225,1,1,50.0
1227,1,1,50.0
1232,1,1,10.0
1233,1,1,50.0
1239,1,0,50.0
1240,1,1,33.0
1247,1,1,50.0
1250,1,1,50.0
1257,1,1,50.0
1259,1,0,50.0
1260,1,1,45.0
1263,1,1,40.0
1269,1,1,50.0
1270,1,0,50.0
1275,1,1,50.0
1276,1,0,50.0
1277,1,1,35.0
1278,1,1,40.0
1279,1,1,40.0
1280,1,1,50.0
1283,1,1,60.0
1295,1,0,50.0
1296,1,0,10.0
1302,1,0,60.0
1304,1,1,20.0
1308,1,1,50.0
1309,1,0,50.0
1310,1,0,10.0
1311,1,1,50.0
1313,1,1,0.0
1320,1,1,50.0
1322,1,1,50.0
1323,1,1,50.0
1324,1,1,50.0
1326,1,1,50.0
1331,1,1,30.0
1333,1,1,50.0
1334,1,0,50.0
1346,1,1,0.0
1347,1,0,50.0
1350,1,1,50.0
1351,1,1,0.0
1352,1,1,50.0
1354,1,1,50.0
1356,1,1,49.0
1361,1,1,52.0
1363,1,1,50.0
1364,1,1,30.0
1365,1,1,71.0
1366,1,1,61.0
1368,1,1,50.0
1370,1,1,50.0
1371,1,1,3.0
1372,1,1,20.0
1374,1,0,50.0
1375,1,0,50.0
1376,1,1,0.0
1378,1,1,50.0
1383,1,1,0.0
1385,1,1,0.0
1386,1,1,50.0
1387,1,1,0.0
1388,1,1,50.0
1393,1,0,50.0
1394,1,0,50.0
1395,1,1,50.0
1396,1,1,40.0
1397,1,1,50.0
1402,1,1,50.0
1403,1,1,50.0
1404,1,1,50.0
1406,1,1,50.0
1411,1,1,50.0
1413,1,1,50.0
1414,1,1,50.0
1415,1,1,45.0
1418,1,0,50.0
1419,1,1,50.0
1420,1,1,10.0
1422,1,0,100.0
1423,1,1,50.0
1426,1,1,50.0
1428,1,1,0.0
1430,1,1,50.0
1432,1,0,100.0
1433,1,0,29.0
1437,1,1,42.0
1441,1,1,41.0
1442,1,1,50.0
1447,1,0,49.0
1451,1,1,40.0
1452,1,1,50.0
1455,1,1,50.0
1456,1,1,50.0
1457,1,1,50.0
1458,1,0,0.0
1459,1,1,50.0
1461,1,1,50.0
1463,1,0,50.0
1465,1,1,50.0
1466,1,1,100.0
1467,1,1,50.0
1468,1,1,50.0
1469,1,1,70.0
1471,1,1,50.0
1472,1,1,50.0
1473,1,1,50.0
1474,1,1,0.0
1475,1,1,50.0
1478,1,1,51.0
1479,1,0,100.0
1482,1,0,100.0
1485,1,1,60.0
1487,1,0,50.0
1488,1,1,49.0
1490,1,1,0.0
1494,1,1,50.0
1498,1,0,50.0
1500,1,1,0.0
1502,1,0,75.0
1504,1,1,50.0
1513,1,1,50.0
1514,1,1,50.0
1516,1,1,50.0
1519,1,1,0.0
1522,1,1,50.0
1523,1,1,10.0
1524,1,1,0.0
1525,1,1,50.0
1527,1,1,50.0
1528,1,0,50.0
1530,1,1,50.0
1535,1,0,50.0
1537,1,0,50.0
1539,1,0,50.0
1542,1,1,40.0
1547,1,1,50.0
1552,1,1,33.0
1553,1,0,50.0
1558,1,0,50.0
1560,1,0,18.0
1562,1,1,100.0
1563,1,1,50.0
1564,1,1,50.0
1566,1,0,50.0
1570,1,1,50.0
1571,1,1,50.0
1575,1,1,50.0
1577,1,1,50.0
1578,1,1,40.0
1581,1,1,30.0
1584,1,1,50.0
1586,1,1,80.0
1589,1,0,50.0
1595,1,0,50.0
1596,1,1,50.0
1602,1,1,49.0
1604,1,1,33.0
1606,1,1,51.0
1609,1,0,48.0
1611,1,1,50.0
1615,1,1,50.0
1616,1,1,50.0
1617,1,0,50.0
1618,1,1,50.0
1619,1,1,50.0
1620,1,0,70.0
1624,1,0,0.0
1626,1,1,50.0
1628,1,1,40.0
1632,1,0,50.0
1633,1,1,50.0
1635,1,1,51.0
1638,1,1,0.0
1640,1,0,50.0
1642,1,1,41.0
1643,1,0,50.0
1646,1,1,50.0
1647,1,0,50.0
1651,1,1,50.0
1652,1,1,35.0
1655,1,1,50.0
1656,1,1,50.0
1663,1,1,50.0
1665,1,1,0.0
1667,1,0,50.0
1668,1,1,50.0
1672,1,1,20.0
1677,1,1,50.0
1679,1,1,0.0
1681,1,1,50.0
1682,1,1,50.0
1683,1,1,0.0
1684,1,0,50.0
1686,1,1,50.0
1691,1,1,50.0
1692,1,1,100.0
1696,1,1,19.0
1701,1,1,40.0
1702,1,0,5.0
1703,1,1,50.0
1706,1,1,50.0
1707,1,1,0.0
1709,1,0,50.0
1713,1,1,100.0
1716,1,0,50.0
1717,1,1,50.0
1719,1,1,50.0
1720,1,1,50.0
1722,1,0,50.0
1725,1,1,30.0
1728,1,1,50.0
1729,1,1,50.0
1732,1,1,50.0
1733,1,1,50.0
1734,1,0,50.0
1744,1,1,50.0
1750,1,1,100.0
1751,1,0,50.0
1752,1,0,40.0
1754,1,0,50.0
1755,1,1,20.0
1759,1,1,50.0
1760,1,1,49.0
1761,1,1,39.0
1765,1,0,50.0
1766,1,0,50.0
1767,1,0,50.0
1768,1,1,0.0
1770,1,1,30.0
1771,1,1,50.0
1774,1,1,0.0
1778,1,1,50.0
1779,1,1,50.0
1782,1,0,50.0
1783,1,1,50.0
1784,1,1,50.0
1786,1,1,50.0
1787,1,1,50.0
1788,1,1,50.0
1790,1,0,50.0
1791,1,1,30.0
1792,1,1,0.0
1793,1,1,50.0
1797,1,1,30.0
1798,1,1,10.0
1801,1,1,30.0
1802,1,0,50.0
1803,1,0,50.0
1806,1,1,45.0
1809,1,1,0.0
1812,1,1,50.0
1815,1,1,50.0
1820,1,0,50.0
1821,1,1,0.0
1822,1,1,49.0
1823,1,0,50.0
1826,1,1,60.0
1827,1,0,50.0
1829,1,0,40.0
1830,1,1,50.0
1831,1,1,100.0
1832,1,1,20.0
1834,1,1,50.0
1845,1,1,60.0
1846,1,1,50.0
1848,1,0,50.0
1850,1,1,50.0
1854,1,1,80.0
1857,1,1,50.0
1861,1,0,38.0
1862,1,1,50.0
1863,1,1,30.0
1866,1,1,50.0
1870,1,1,50.0
1871,1,0,50.0
1872,1,1,30.0
1875,1,1,50.0
1876,1,1,50.0
1877,1,1,50.0
1880,1,1,25.0
1881,1,0,50.0
1883,1,1,20.0
1884,1,1,50.0
1885,1,1,33.0
1886,1,1,32.0
1892,1,1,50.0
1897,1,1,30.0
1898,1,1,53.0
1901,1,1,40.0
1903,1,1,50.0
1905,1,1,50.0
1914,1,1,40.0
1920,1,1,100.0
1921,1,1,50.0
1922,1,1,50.0
1923,1,0,30.0
1926,1,1,30.0
1928,1,1,50.0
1929,1,1,50.0
1930,1,0,20.0
1936,1,0,50.0
1939,1,0,50.0
1942,1,1,50.0
1943,1,1,50.0
1944,1,1,50.0
1947,1,1,50.0
1949,1,1,51.0
1953,1,1,50.0
1955,1,0,50.0
1956,1,1,50.0
1957,1,1,40.0
1962,1,0,50.0
1965,1,1,48.0
1966,1,1,50.0
1969,1,1,50.0
1970,1,1,40.0
1971,1,1,0.0
1980,1,1,50.0
1981,1,1,50.0
1986,1,1,0.0
1987,1,1,60.0
1991,1,1,50.0
1992,1,1,50.0
1993,1,1,0.0
1994,1,1,50.0
1995,1,1,40.0
1997,1,1,19.0
1998,1,1,50.0
2000,1,0,50.0
2006,1,0,50.0
2018,1,0,20.0
2022,1,1,44.0
2023,1,1,50.0
2027,1,0,50.0
2028,1,1,50.0
2031,1,1,50.0
2037,1,1,0.0
2039,1,1,50.0
2040,1,0,70.0
2043,1,1,50.0
2044,1,1,40.0
2046,1,1,51.0
2047,1,0,50.0
2048,1,1,33.0
2050,1,0,50.0
2051,1,1,50.0
2052,1,1,50.0
2055,1,1,35.0
2056,1,1,29.0
2057,1,1,20.0
2059,1,0,50.0
2062,1,0,56.0
2063,1,1,50.0
2067,1,1,20.0
2068,1,1,70.0
2075,1,1,50.0
2078,1,0,50.0
2079,1,1,50.0
2084,1,1,50.0
2087,1,1,50.0
2090,1,1,20.0
2091,1,1,50.0
2093,1,1,0.0
2095,1,1,30.0
2097,1,1,50.0
2100,1,0,50.0
2101,1,1,50.0
2102,1,1,50.0
2104,1,1,50.0
2106,1,1,50.0
2107,1,1,50.0
2108,1,1,0.0
2110,1,0,20.0
2113,1,1,45.0
2116,1,1,50.0
2118,1,1,50.0
2119,1,0,30.0
2125,1,1,50.0
2127,1,0,50.0
2128,1,0,50.0
2130,1,0,100.0
2131,1,1,50.0
2132,1,1,50.0
2138,1,1,30.0
2139,1,0,0.0
2140,1,0,50.0
2141,1,1,50.0
2147,1,0,50.0
2148,1,1,50.0
2153,1,0,35.0
2154,1,1,0.0
2156,1,1,50.0
2158,1,1,50.0
2159,1,0,50.0
2160,1,1,46.0
2162,1,1,50.0
2166,1,1,50.0
2172,1,1,50.0
2175,1,0,50.0
2176,1,1,50.0
2177,1,1,50.0
2181,1,1,50.0
2182,1,0,50.0
2183,1,1,50.0
2188,1,1,0.0
2190,1,1,50.0
2191,1,1,20.0
2195,1,0,50.0
2199,1,1,50.0
2201,1,1,30.0
2209,1,1,100.0
2214,1,1,50.0
2215,1,1,50.0
2216,1,0,50.0
2217,1,1,50.0
2218,1,1,50.0
2220,1,1,49.0
2223,1,1,50.0
2224,1,1,50.0
2225,1,0,50.0
2228,1,1,100.0
2230,1,1,50.0
2232,1,1,50.0
2233,1,1,50.0
2237,1,1,50.0
2239,1,0,50.0
2243,1,1,50.0
2245,1,1,50.0
2246,1,1,50.0
2248,1,1,50.0
2249,1,1,50.0
2254,1,0,30.0
2256,1,1,50.0
2259,1,1,50.0
2262,1,0,50.0
2263,1,0,50.0
2265,1,0,50.0
2266,1,1,40.0
2267,1,1,50.0
2268,1,1,50.0
2270,1,1,40.0
2274,1,1,50.0
2277,1,1,50.0
2281,1,1,0.0
2282,1,1,50.0
2284,1,1,50.0
2285,1,0,50.0
2288,1,1,50.0
2291,1,1,45.0
